공급사,고객사,관계유형,제품·프로그램,설명,신뢰도,출처,대분류,서브섹터
에이팩트,SK하이닉스,테스트 부품·외주,,테스트 하우스(OSAT) — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
하나마이크론,삼성전자,테스트 부품·외주,,패키징 OSAT — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
하나마이크론,SK하이닉스,테스트 부품·외주,,패키징 OSAT — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
SFA반도체,삼성전자,테스트 부품·외주,,패키징 OSAT — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
SFA반도체,SK하이닉스,테스트 부품·외주,,패키징 OSAT — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
네패스,삼성전자,테스트 부품·외주,,패키징 OSAT — 메모리·시스템 반도체향 (FO-WLP),추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
네패스,SK하이닉스,테스트 부품·외주,,패키징 OSAT — 메모리·시스템 반도체향 (FO-WLP),추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
시그네틱스,삼성전자,테스트 부품·외주,,패키징 OSAT — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
시그네틱스,SK하이닉스,테스트 부품·외주,,패키징 OSAT — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
선익시스템,LG디스플레이,장비·소재 공급,,증착 장비 — OLED 패널향 (삼성디스플레이는 비상장) (OLED 증착기),추정,서브섹터,전기전자,디스플레이
주성엔지니어링,LG디스플레이,장비·소재 공급,,증착 장비 — OLED 패널향 (삼성디스플레이는 비상장),추정,서브섹터,전기전자,디스플레이
원익IPS,LG디스플레이,장비·소재 공급,,증착 장비 — OLED 패널향 (삼성디스플레이는 비상장),추정,서브섹터,전기전자,디스플레이
AP시스템,LG디스플레이,장비·소재 공급,,레이저/봉지 장비 — OLED 패널향 (삼성디스플레이는 비상장) (ELA),추정,서브섹터,전기전자,디스플레이
필옵틱스,LG디스플레이,장비·소재 공급,,레이저/봉지 장비 — OLED 패널향 (삼성디스플레이는 비상장),추정,서브섹터,전기전자,디스플레이
이오테크닉스,LG디스플레이,장비·소재 공급,,레이저/봉지 장비 — OLED 패널향 (삼성디스플레이는 비상장),추정,서브섹터,전기전자,디스플레이
에스에프에이,LG디스플레이,장비·소재 공급,,물류/자동화 — OLED 패널향 (삼성디스플레이는 비상장),추정,서브섹터,전기전자,디스플레이
톱텍,LG디스플레이,장비·소재 공급,,물류/자동화 — OLED 패널향 (삼성디스플레이는 비상장),추정,서브섹터,전기전자,디스플레이
HB테크놀러지,LG디스플레이,장비·소재 공급,,검사 — OLED 패널향 (삼성디스플레이는 비상장),추정,서브섹터,전기전자,디스플레이
브이원텍,LG디스플레이,장비·소재 공급,,검사 — OLED 패널향 (삼성디스플레이는 비상장),추정,서브섹터,전기전자,디스플레이
영우디에스피,LG디스플레이,장비·소재 공급,,검사 — OLED 패널향 (삼성디스플레이는 비상장),추정,서브섹터,전기전자,디스플레이
힘스,LG디스플레이,장비·소재 공급,,마스크 인장 — OLED 패널향 (삼성디스플레이는 비상장),추정,서브섹터,전기전자,디스플레이
덕산네오룩스,LG디스플레이,장비·소재 공급,,유기재료 — OLED 패널향 (삼성디스플레이는 비상장),추정,서브섹터,전기전자,디스플레이
피엔에이치테크,LG디스플레이,장비·소재 공급,,유기재료 — OLED 패널향 (삼성디스플레이는 비상장),추정,서브섹터,전기전자,디스플레이
솔루스첨단소재,LG디스플레이,장비·소재 공급,,유기재료 — OLED 패널향 (삼성디스플레이는 비상장) (aETL),추정,서브섹터,전기전자,디스플레이
이녹스첨단소재,LG디스플레이,장비·소재 공급,,봉지·점착 소재 — OLED 패널향 (삼성디스플레이는 비상장),추정,서브섹터,전기전자,디스플레이
덕산테코피아,LG디스플레이,장비·소재 공급,,중간체 — OLED 패널향 (삼성디스플레이는 비상장),추정,서브섹터,전기전자,디스플레이
KH바텍,LG디스플레이,장비·소재 공급,,폴더블 부품 — OLED 패널향 (삼성디스플레이는 비상장) (힌지),추정,서브섹터,전기전자,디스플레이
파인엠텍,LG디스플레이,장비·소재 공급,,폴더블 부품 — OLED 패널향 (삼성디스플레이는 비상장) (내장힌지),추정,서브섹터,전기전자,디스플레이
세경하이테크,LG디스플레이,장비·소재 공급,,폴더블 부품 — OLED 패널향 (삼성디스플레이는 비상장) (데코필름),추정,서브섹터,전기전자,디스플레이
제이앤티씨,LG디스플레이,장비·소재 공급,,폴더블 부품 — OLED 패널향 (삼성디스플레이는 비상장) (UTG),추정,서브섹터,전기전자,디스플레이
켐트로닉스,LG디스플레이,장비·소재 공급,,폴더블 부품 — OLED 패널향 (삼성디스플레이는 비상장) (박막화·식각),추정,서브섹터,전기전자,디스플레이
PI첨단소재,LG디스플레이,장비·소재 공급,,폴더블 부품 — OLED 패널향 (삼성디스플레이는 비상장) (PI필름),추정,서브섹터,전기전자,디스플레이
유티아이,LG디스플레이,장비·소재 공급,,커버글라스 — OLED 패널향 (삼성디스플레이는 비상장),추정,서브섹터,전기전자,디스플레이
LX세미콘,LG디스플레이,장비·소재 공급,,DDI — OLED 패널향 (삼성디스플레이는 비상장),추정,서브섹터,전기전자,디스플레이
엘비세미콘,LG디스플레이,장비·소재 공급,,DDI 후공정 — OLED 패널향 (삼성디스플레이는 비상장),추정,서브섹터,전기전자,디스플레이
현대모비스,현대차,부품 공급,,모듈/전동화 — 완성차향 (섀시모듈·PE시스템),추정,서브섹터,자동차·모빌리티,자동차 부품
현대모비스,기아,부품 공급,,모듈/전동화 — 완성차향 (섀시모듈·PE시스템),추정,서브섹터,자동차·모빌리티,자동차 부품
현대위아,현대차,부품 공급,,모듈/전동화 — 완성차향 (등속조인트·열관리),추정,서브섹터,자동차·모빌리티,자동차 부품
현대위아,기아,부품 공급,,모듈/전동화 — 완성차향 (등속조인트·열관리),추정,서브섹터,자동차·모빌리티,자동차 부품
HL만도,현대차,부품 공급,,모듈/전동화 — 완성차향 (제동·조향·ADAS),추정,서브섹터,자동차·모빌리티,자동차 부품
HL만도,기아,부품 공급,,모듈/전동화 — 완성차향 (제동·조향·ADAS),추정,서브섹터,자동차·모빌리티,자동차 부품
현대오토에버,현대차,부품 공급,,모듈/전동화 — 완성차향 (차량SW),추정,서브섹터,자동차·모빌리티,자동차 부품
현대오토에버,기아,부품 공급,,모듈/전동화 — 완성차향 (차량SW),추정,서브섹터,자동차·모빌리티,자동차 부품
한온시스템,현대차,부품 공급,,공조/열관리 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
한온시스템,기아,부품 공급,,공조/열관리 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
인지컨트롤스,현대차,부품 공급,,공조/열관리 — 완성차향 (밸브),추정,서브섹터,자동차·모빌리티,자동차 부품
인지컨트롤스,기아,부품 공급,,공조/열관리 — 완성차향 (밸브),추정,서브섹터,자동차·모빌리티,자동차 부품
우리산업,현대차,부품 공급,,공조/열관리 — 완성차향 (PTC히터),추정,서브섹터,자동차·모빌리티,자동차 부품
우리산업,기아,부품 공급,,공조/열관리 — 완성차향 (PTC히터),추정,서브섹터,자동차·모빌리티,자동차 부품
에스엘,현대차,부품 공급,,램프 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
에스엘,기아,부품 공급,,램프 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
성우하이텍,현대차,부품 공급,,차체/프레스 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
성우하이텍,기아,부품 공급,,차체/프레스 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
화신,현대차,부품 공급,,차체/프레스 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
화신,기아,부품 공급,,차체/프레스 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
명신산업,현대차,부품 공급,,차체/프레스 — 완성차향 (핫스탬핑·테슬라향),추정,서브섹터,자동차·모빌리티,자동차 부품
명신산업,기아,부품 공급,,차체/프레스 — 완성차향 (핫스탬핑·테슬라향),추정,서브섹터,자동차·모빌리티,자동차 부품
엠에스오토텍,현대차,부품 공급,,차체/프레스 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
엠에스오토텍,기아,부품 공급,,차체/프레스 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
서연이화,현대차,부품 공급,,내장 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
서연이화,기아,부품 공급,,내장 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
덕양산업,현대차,부품 공급,,내장 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
덕양산업,기아,부품 공급,,내장 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
대원산업,현대차,부품 공급,,시트 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
대원산업,기아,부품 공급,,시트 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
두올,현대차,부품 공급,,시트 — 완성차향 (원단),추정,서브섹터,자동차·모빌리티,자동차 부품
두올,기아,부품 공급,,시트 — 완성차향 (원단),추정,서브섹터,자동차·모빌리티,자동차 부품
SNT모티브,현대차,부품 공급,,구동모터/전장 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
SNT모티브,기아,부품 공급,,구동모터/전장 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
아모그린텍,현대차,부품 공급,,구동모터/전장 — 완성차향 (모터코어 소재),추정,서브섹터,자동차·모빌리티,자동차 부품
아모그린텍,기아,부품 공급,,구동모터/전장 — 완성차향 (모터코어 소재),추정,서브섹터,자동차·모빌리티,자동차 부품
티에이치엔,현대차,부품 공급,,와이어링하네스 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
티에이치엔,기아,부품 공급,,와이어링하네스 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
삼기,현대차,부품 공급,,다이캐스팅 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
삼기,기아,부품 공급,,다이캐스팅 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
세방전지,현대차,부품 공급,,배터리(납축) — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
세방전지,기아,부품 공급,,배터리(납축) — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
모트렉스,현대차,부품 공급,,인포테인먼트/반도체 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
모트렉스,기아,부품 공급,,인포테인먼트/반도체 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
텔레칩스,현대차,부품 공급,,인포테인먼트/반도체 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
텔레칩스,기아,부품 공급,,인포테인먼트/반도체 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
넥스트칩,현대차,부품 공급,,인포테인먼트/반도체 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
넥스트칩,기아,부품 공급,,인포테인먼트/반도체 — 완성차향,추정,서브섹터,자동차·모빌리티,자동차 부품
에스오에스랩,현대차,부품 공급,,센서 — 완성차향 (라이다),추정,서브섹터,자동차·모빌리티,자동차 부품
에스오에스랩,기아,부품 공급,,센서 — 완성차향 (라이다),추정,서브섹터,자동차·모빌리티,자동차 부품
스마트레이더시스템,현대차,부품 공급,,센서 — 완성차향 (4D레이더),추정,서브섹터,자동차·모빌리티,자동차 부품
스마트레이더시스템,기아,부품 공급,,센서 — 완성차향 (4D레이더),추정,서브섹터,자동차·모빌리티,자동차 부품
퓨런티어,현대차,부품 공급,,센서 — 완성차향 (센서 공정장비),추정,서브섹터,자동차·모빌리티,자동차 부품
퓨런티어,기아,부품 공급,,센서 — 완성차향 (센서 공정장비),추정,서브섹터,자동차·모빌리티,자동차 부품
브이엠,SK하이닉스,장비 공급,,메모리 팹향 건식 식각 장비 공급 (구 에이피티씨),명시,큐레이션,반도체,장비
브이엠,삼성전자,장비 공급,,식각 장비 공급 (SK하이닉스 대비 비중 낮음),추정,큐레이션,반도체,장비
두산테스나,삼성전자,테스트 외주,,시스템LSI(SoC·CIS) 웨이퍼 테스트 외주,명시,큐레이션,반도체,부품·소켓·테스트 (OSAT 포함)
네패스아크,삼성전자,테스트 외주,,PMIC·DDI 등 시스템반도체 테스트 외주,명시,큐레이션,반도체,부품·소켓·테스트 (OSAT 포함)
엘비세미콘,LX세미콘,후공정 외주,,DDI 범핑·테스트 외주,명시,큐레이션,반도체,부품·소켓·테스트 (OSAT 포함)
파두,SK하이닉스,제품 공급,,기업용 SSD 컨트롤러 공급 이력,명시,큐레이션,반도체,팹리스
심텍,삼성전자,기판 공급,,메모리 모듈 PCB·BOC 기판 공급,명시,큐레이션,전기전자,기판/PCB
심텍,SK하이닉스,기판 공급,,메모리 모듈 PCB·BOC 기판 공급,명시,큐레이션,전기전자,기판/PCB
티엘비,삼성전자,기판 공급,,SSD·메모리 모듈 기판 공급,명시,큐레이션,전기전자,기판/PCB
티엘비,SK하이닉스,기판 공급,,SSD·메모리 모듈 기판 공급,명시,큐레이션,전기전자,기판/PCB
LX세미콘,LG디스플레이,제품 공급,,디스플레이 구동칩(DDI) 공급,명시,큐레이션,전기전자,디스플레이
에코프로머티리얼즈,에코프로비엠,소재 공급·계열,,하이니켈 양극재용 전구체 공급 (에코프로 계열),명시,큐레이션,2차전지·배터리소재,소재
에코프로비엠,삼성SDI,소재 공급,,NCA·NCM 하이니켈 양극재 공급,명시,큐레이션,2차전지·배터리소재,소재
에코프로비엠,SK이노베이션,소재 공급,,SK온향 NCM 양극재 공급,명시,큐레이션,2차전지·배터리소재,소재
엘앤에프,LG에너지솔루션,소재 공급,,하이니켈 양극재 공급 (테슬라향 원통형 포함),명시,큐레이션,2차전지·배터리소재,소재
포스코퓨처엠,LG에너지솔루션,소재 공급,,양극재·음극재 공급 (얼티엄셀즈향 포함),명시,큐레이션,2차전지·배터리소재,소재
코스모신소재,삼성SDI,소재 공급,,NCM 양극재 공급,명시,큐레이션,2차전지·배터리소재,소재
더블유씨피,삼성SDI,소재 공급,,습식 분리막 주력 공급,명시,큐레이션,2차전지·배터리소재,소재
SK아이이테크놀로지,SK이노베이션,소재 공급·계열,,SK온향 습식 분리막 공급 (계열),명시,큐레이션,2차전지·배터리소재,소재
대주전자재료,LG에너지솔루션,소재 공급,,실리콘 음극재 공급 (EV 원통형·파우치향),명시,큐레이션,2차전지·배터리소재,소재
신흥에스이씨,삼성SDI,부품 공급,,각형·원통형 캡어셈블리 공급,명시,큐레이션,2차전지·배터리소재,소재
상신이디피,삼성SDI,부품 공급,,각형 캔 공급,명시,큐레이션,2차전지·배터리소재,소재
필에너지,삼성SDI,장비 공급·계열,,스태킹 등 조립 장비 공급 (삼성SDI 합작),명시,큐레이션,2차전지·배터리소재,장비·부품
후성,LG에너지솔루션,소재 공급,,전해질(LiPF6) 공급,추정,큐레이션,2차전지·배터리소재,소재
케이에스피,한화엔진,부품 공급,,선박엔진용 밸브 스핀들 공급,명시,큐레이션,조선·방산·우주항공,조선기자재·엔진
케이에스피,HD현대마린엔진,부품 공급,,선박엔진용 밸브 스핀들 공급,명시,큐레이션,조선·방산·우주항공,조선기자재·엔진
인화정공,한화엔진,부품 공급,,선박엔진 구조물·부품 공급,명시,큐레이션,조선·방산·우주항공,조선기자재·엔진
세진중공업,HD현대중공업,기자재 공급,,데크하우스·LPG탱크 공급 (HD현대 계열향),명시,큐레이션,조선·방산·우주항공,조선기자재·엔진
세진중공업,HD현대미포,기자재 공급,,데크하우스·LPG탱크 공급,명시,큐레이션,조선·방산·우주항공,조선기자재·엔진
현대힘스,HD현대중공업,기자재 공급,,선체 블록 공급 (HD현대 계열향),명시,큐레이션,조선·방산·우주항공,조선기자재·엔진
오리엔탈정공,HD현대중공업,기자재 공급,,선박용 크레인 공급,명시,큐레이션,조선·방산·우주항공,조선기자재·엔진
오리엔탈정공,삼성중공업,기자재 공급,,선박용 크레인 공급,명시,큐레이션,조선·방산·우주항공,조선기자재·엔진
한화엔진,HD현대중공업,엔진 공급,,선박용 대형엔진 공급 (경쟁 계열이나 실공급 관계),명시,큐레이션,조선·방산·우주항공,조선기자재·엔진
한화엔진,삼성중공업,엔진 공급,,선박용 대형엔진 공급,명시,큐레이션,조선·방산·우주항공,조선기자재·엔진
아이쓰리시스템,LIG넥스원,부품 공급,,유도무기 탐색기용 적외선 검출기 공급,명시,큐레이션,조선·방산·우주항공,방산
아이쓰리시스템,한화시스템,부품 공급,,감시정찰 장비용 적외선 검출기 공급,명시,큐레이션,조선·방산·우주항공,방산
한일단조,풍산,부품 공급,,탄체 단조품 공급,추정,큐레이션,조선·방산·우주항공,방산
일진하이솔루스,현대차,부품 공급,넥쏘,수소전기차용 수소연료탱크 공급,명시,큐레이션,전력기기·전력인프라·원전,신재생
효성첨단소재,일진하이솔루스,소재 공급,,수소탱크용 탄소섬유 공급,명시,큐레이션,전력기기·전력인프라·원전,신재생
금호석유화학,한국타이어앤테크놀로지,소재 공급,,타이어용 합성고무(SBR·BR) 공급,명시,큐레이션,자동차·모빌리티,타이어
금호석유화학,금호타이어,소재 공급,,타이어용 합성고무 공급,명시,큐레이션,자동차·모빌리티,타이어
금호석유화학,넥센타이어,소재 공급,,타이어용 합성고무 공급,추정,큐레이션,자동차·모빌리티,타이어
효성첨단소재,한국타이어앤테크놀로지,소재 공급,,타이어코드 공급,추정,큐레이션,자동차·모빌리티,타이어
에스앤디,삼양식품,소재 공급,불닭볶음면,불닭 소스·스프용 조미소재 공급,명시,큐레이션,K소비재·유통,음식료
율촌화학,농심,포장재 공급,,라면·스낵 연포장재 공급 (범농심가),명시,큐레이션,K소비재·유통,음식료
연우,아모레퍼시픽,부자재 공급,,화장품 펌프·용기 공급,명시,큐레이션,K소비재·유통,화장품 ODM/OEM
펌텍코리아,LG생활건강,부자재 공급,,화장품 펌프·용기 공급,추정,큐레이션,K소비재·유통,화장품 ODM/OEM
현대모비스,현대차,부품 공급,아틀라스,휴머노이드 액추에이터·헤드모듈 (보스턴다이내믹스향),명시,큐레이션,전기전자,로봇
화신,현대차,부품 공급,아틀라스,휴머노이드 바디·팔·다리 모듈 (보스턴다이내믹스향),명시,큐레이션,전기전자,로봇
에스엘,현대차,부품 공급,스팟·스트레치,로봇 다리·외장 (보스턴다이내믹스향),명시,큐레이션,전기전자,로봇
서연이화,현대차,부품 공급,,로봇 외장 (보스턴다이내믹스향),명시,큐레이션,전기전자,로봇
HL만도,현대차,부품 공급,스팟,로봇용 액추에이터 (보스턴다이내믹스향),명시,큐레이션,전기전자,로봇
에스피지,레인보우로보틱스,부품 공급,,정밀 감속기 공급,명시,큐레이션,전기전자,로봇
