대분류,서브섹터,제품체인,체인단계,기업명,비고
조선·방산·우주항공,방산,천궁-II 밸류체인,신호처리·전술컴퓨터,코츠테크놀로지,
조선·방산·우주항공,방산,K9 자주포,체계,한화에어로스페이스,
조선·방산·우주항공,방산,K9 자주포,포신,현대위아,
조선·방산·우주항공,방산,K9 자주포,엔진,STX엔진,국산화
조선·방산·우주항공,방산,K9 자주포,엔진,HD현대인프라코어,
조선·방산·우주항공,방산,K9 자주포,변속기,SNT다이내믹스,
조선·방산·우주항공,방산,K2 전차,체계,현대로템,
조선·방산·우주항공,방산,K2 전차,엔진,HD현대인프라코어,
조선·방산·우주항공,방산,K2 전차,변속기,SNT다이내믹스,
조선·방산·우주항공,방산,K2 전차,주포,현대위아,
조선·방산·우주항공,방산,KF-21,체계,한국항공우주,
조선·방산·우주항공,방산,KF-21,엔진(F414 면허생산),한화에어로스페이스,
조선·방산·우주항공,방산,KF-21,AESA 레이더,한화시스템,
조선·방산·우주항공,방산,KF-21,착륙장치,현대위아,
조선·방산·우주항공,방산,KF-21,항전/일부 임무장비,LIG넥스원,
조선·방산·우주항공,방산,KF-21,기체 구조물,켄코아에어로스페이스,
조선·방산·우주항공,방산,KF-21,기체 구조물,아스트,
조선·방산·우주항공,방산,KF-21,기체 구조물,하이즈항공,
조선·방산·우주항공,방산,잠수함(장보고-III),건조,한화오션,
조선·방산·우주항공,방산,잠수함(장보고-III),건조,HD현대중공업,
조선·방산·우주항공,방산,잠수함(장보고-III),전투체계,한화시스템,
조선·방산·우주항공,방산,잠수함(장보고-III),소나·어뢰,LIG넥스원,
조선·방산·우주항공,방산,잠수함(장보고-III),추진전동기,효성중공업,
조선·방산·우주항공,방산,잠수함(장보고-III),디젤엔진,STX엔진,
조선·방산·우주항공,방산,잠수함(장보고-III),AIP 연료전지,범한퓨얼셀,
조선·방산·우주항공,방산,잠수함(장보고-III),리튬전지체계,한화에어로스페이스,
조선·방산·우주항공,방산,잠수함(장보고-III),셀,삼성SDI,
조선·방산·우주항공,방산,잠수함(장보고-III),강재,POSCO홀딩스,
조선·방산·우주항공,방산,방산 전자·부품,적외선 검출기,아이쓰리시스템,
조선·방산·우주항공,방산,방산 전자·부품,전술통신,휴니드,
조선·방산·우주항공,방산,방산 전자·부품,전원공급장치·전자전 부품,빅텍,
조선·방산·우주항공,방산,방산 전자·부품,탄체 단조,한일단조,
조선·방산·우주항공,방산,방산 전자·부품,방탄,삼양컴텍,
조선·방산·우주항공,우주항공,,위성 체계,쎄트렉아이,지구관측
조선·방산·우주항공,우주항공,,위성 체계,한화시스템,SAR·통신
조선·방산·우주항공,우주항공,,위성 체계,루미르,SAR
조선·방산·우주항공,우주항공,,발사체,한화에어로스페이스,누리호 엔진·체계총괄
조선·방산·우주항공,우주항공,,발사체,이노스페이스,소형발사체
조선·방산·우주항공,우주항공,,위성 안테나/통신,인텔리안테크,
조선·방산·우주항공,우주항공,,위성 안테나/통신,제노코,
조선·방산·우주항공,우주항공,,위성 안테나/통신,AP위성,위성통신단말
조선·방산·우주항공,우주항공,,지상국·데이터,컨텍,
조선·방산·우주항공,우주항공,,기체 구조물/MRO,켄코아에어로스페이스,
조선·방산·우주항공,우주항공,,기체 구조물/MRO,아스트,
조선·방산·우주항공,우주항공,,기체 구조물/MRO,하이즈항공,
조선·방산·우주항공,우주항공,,기체 구조물/MRO,오르비텍,항공부품
자동차·모빌리티,자동차 (완성차),,완성차,현대차,
자동차·모빌리티,자동차 (완성차),,완성차,기아,
자동차·모빌리티,자동차 (완성차),,완성차,KG모빌리티,
자동차·모빌리티,자동차 부품,,모듈/전동화,현대모비스,섀시모듈·PE시스템
자동차·모빌리티,자동차 부품,,모듈/전동화,현대위아,등속조인트·열관리
자동차·모빌리티,자동차 부품,,모듈/전동화,HL만도,제동·조향·ADAS
자동차·모빌리티,자동차 부품,,모듈/전동화,현대오토에버,차량SW
자동차·모빌리티,자동차 부품,,공조/열관리,한온시스템,
자동차·모빌리티,자동차 부품,,공조/열관리,인지컨트롤스,밸브
자동차·모빌리티,자동차 부품,,공조/열관리,우리산업,PTC히터
자동차·모빌리티,자동차 부품,,램프,에스엘,
자동차·모빌리티,자동차 부품,,차체/프레스,성우하이텍,
자동차·모빌리티,자동차 부품,,차체/프레스,화신,
자동차·모빌리티,자동차 부품,,차체/프레스,명신산업,핫스탬핑·테슬라향
자동차·모빌리티,자동차 부품,,차체/프레스,엠에스오토텍,
자동차·모빌리티,자동차 부품,,내장,서연이화,
자동차·모빌리티,자동차 부품,,내장,덕양산업,
자동차·모빌리티,자동차 부품,,시트,대원산업,
자동차·모빌리티,자동차 부품,,시트,두올,원단
자동차·모빌리티,자동차 부품,,구동모터/전장,SNT모티브,
자동차·모빌리티,자동차 부품,,구동모터/전장,아모그린텍,모터코어 소재
자동차·모빌리티,자동차 부품,,와이어링하네스,티에이치엔,
자동차·모빌리티,자동차 부품,,다이캐스팅,삼기,
자동차·모빌리티,자동차 부품,,배터리(납축),세방전지,
자동차·모빌리티,자동차 부품,,인포테인먼트/반도체,모트렉스,
자동차·모빌리티,자동차 부품,,인포테인먼트/반도체,텔레칩스,
자동차·모빌리티,자동차 부품,,인포테인먼트/반도체,넥스트칩,
자동차·모빌리티,자동차 부품,,센서,에스오에스랩,라이다
자동차·모빌리티,자동차 부품,,센서,스마트레이더시스템,4D레이더
자동차·모빌리티,자동차 부품,,센서,퓨런티어,센서 공정장비
자동차·모빌리티,타이어,,타이어,한국타이어앤테크놀로지,
자동차·모빌리티,타이어,,타이어,금호타이어,
자동차·모빌리티,타이어,,타이어,넥센타이어,
자동차·모빌리티,타이어,,타이어코드,효성첨단소재,
자동차·모빌리티,타이어,,타이어코드,코오롱인더스트리,
자동차·모빌리티,타이어,,합성고무(SBR·BR),금호석유화학,
자동차·모빌리티,타이어,,합성고무(SBR·BR),LG화학,
자동차·모빌리티,타이어,,재생/부품,동아타이어,
2차전지·배터리소재,셀,,대형(EV·ESS),LG에너지솔루션,
2차전지·배터리소재,셀,,대형(EV·ESS),삼성SDI,
2차전지·배터리소재,셀,,대형(EV·ESS),SK이노베이션,SK온
2차전지·배터리소재,셀,,특수/일차전지,비츠로셀,
2차전지·배터리소재,셀,,팩/모듈,파워로직스,
2차전지·배터리소재,셀,,팩/모듈,이랜텍,
2차전지·배터리소재,소재,,양극재,에코프로비엠,
2차전지·배터리소재,소재,,양극재,포스코퓨처엠,
2차전지·배터리소재,소재,,양극재,엘앤에프,
2차전지·배터리소재,소재,,양극재,코스모신소재,
2차전지·배터리소재,소재,,양극재,LG화학,
2차전지·배터리소재,소재,,전구체,에코프로머티리얼즈,
2차전지·배터리소재,소재,,전구체,코스모화학,황산코발트·전구체 원료
2차전지·배터리소재,소재,,음극재,포스코퓨처엠,
2차전지·배터리소재,소재,,음극재,대주전자재료,실리콘 음극재
2차전지·배터리소재,소재,,음극재,한솔케미칼,음극 바인더
2차전지·배터리소재,소재,,분리막,SK아이이테크놀로지,
2차전지·배터리소재,소재,,분리막,더블유씨피,
2차전지·배터리소재,소재,,전해액,엔켐,
2차전지·배터리소재,소재,,전해액,솔브레인,
2차전지·배터리소재,소재,,전해액,동화기업,
2차전지·배터리소재,소재,,전해질·첨가제,후성,LiPF6
2차전지·배터리소재,소재,,전해질·첨가제,천보,F·P계 특수염
2차전지·배터리소재,소재,,동박,SKC,
2차전지·배터리소재,소재,,동박,롯데에너지머티리얼즈,
2차전지·배터리소재,소재,,동박,솔루스첨단소재,
2차전지·배터리소재,소재,,알루미늄박,삼아알미늄,
2차전지·배터리소재,소재,,알루미늄박,DI동일,
2차전지·배터리소재,소재,,CNT 도전재,나노신소재,
2차전지·배터리소재,소재,,CNT 도전재,제이오,
2차전지·배터리소재,소재,,캔/부품,상신이디피,
2차전지·배터리소재,소재,,캔/부품,신흥에스이씨,
2차전지·배터리소재,소재,,파우치,율촌화학,
2차전지·배터리소재,소재,,리사이클,성일하이텍,
2차전지·배터리소재,소재,,리사이클,새빗켐,
2차전지·배터리소재,소재,,리사이클,코스모화학,
2차전지·배터리소재,장비·부품,,믹싱,윤성에프앤씨,
2차전지·배터리소재,장비·부품,,믹싱,티에스아이,
2차전지·배터리소재,장비·부품,,믹싱,제일엠앤에스,
2차전지·배터리소재,장비·부품,,전극(코터·캘린더·슬리터),피엔티,
2차전지·배터리소재,장비·부품,,전극(코터·캘린더·슬리터),씨아이에스,
2차전지·배터리소재,장비·부품,,노칭/스태킹,필에너지,
2차전지·배터리소재,장비·부품,,노칭/스태킹,유일에너테크,
2차전지·배터리소재,장비·부품,,노칭/스태킹,엠플러스,조립 턴키
2차전지·배터리소재,장비·부품,,노칭/스태킹,디이엔티,레이저 노칭
2차전지·배터리소재,장비·부품,,활성화(충방전),원익피앤이,
2차전지·배터리소재,장비·부품,,활성화(충방전),에이프로,
2차전지·배터리소재,장비·부품,,활성화(충방전),하나기술,+전고체
2차전지·배터리소재,장비·부품,,검사,이노메트리,X-ray
2차전지·배터리소재,장비·부품,,검사,브이원텍,
2차전지·배터리소재,장비·부품,,물류/자동화,에스에프에이,
2차전지·배터리소재,장비·부품,,물류/자동화,코윈테크,
바이오·의료기기,CDMO·바이오시밀러,,항체 CDMO,삼성바이오로직스,
바이오·의료기기,CDMO·바이오시밀러,,올리고·저분자 CDMO,에스티팜,
바이오·의료기기,CDMO·바이오시밀러,,중소형 CDMO,바이넥스,
바이오·의료기기,CDMO·바이오시밀러,,중소형 CDMO,프레스티지바이오로직스,
바이오·의료기기,CDMO·바이오시밀러,,바이오시밀러,셀트리온,
바이오·의료기기,CDMO·바이오시밀러,,바이오시밀러,삼성바이오로직스,에피스 자회사
바이오·의료기기,CDMO·바이오시밀러,,플랫폼(SC 제형변경),알테오젠,
바이오·의료기기,신약개발/제약,,대형 제약(신약 보유),유한양행,렉라자
바이오·의료기기,신약개발/제약,,대형 제약(신약 보유),한미약품,
바이오·의료기기,신약개발/제약,,대형 제약(신약 보유),SK바이오팜,엑스코프리
바이오·의료기기,신약개발/제약,,대형 제약(신약 보유),대웅제약,나보타·펙수클루
바이오·의료기기,신약개발/제약,,대형 제약(신약 보유),HK이노엔,케이캡
바이오·의료기기,신약개발/제약,,대형 제약(신약 보유),종근당,
바이오·의료기기,신약개발/제약,,대형 제약(신약 보유),녹십자,
바이오·의료기기,신약개발/제약,,대형 제약(신약 보유),보령,
바이오·의료기기,신약개발/제약,,백신,SK바이오사이언스,
바이오·의료기기,신약개발/제약,,ADC,리가켐바이오,
바이오·의료기기,신약개발/제약,,이중항체,에이비엘바이오,
바이오·의료기기,신약개발/제약,,장기지속형 주사제,펩트론,
바이오·의료기기,신약개발/제약,,장기지속형 주사제,인벤티지랩,
바이오·의료기기,신약개발/제약,,기타 신약 바이오텍,오스코텍,
바이오·의료기기,신약개발/제약,,기타 신약 바이오텍,디앤디파마텍,
바이오·의료기기,신약개발/제약,,기타 신약 바이오텍,브릿지바이오테라퓨틱스,
바이오·의료기기,신약개발/제약,,기타 신약 바이오텍,올릭스,
바이오·의료기기,신약개발/제약,,AI 진단/신약,루닛,
바이오·의료기기,신약개발/제약,,AI 진단/신약,뷰노,
바이오·의료기기,신약개발/제약,,AI 진단/신약,제이엘케이,
바이오·의료기기,의료기기,,에너지기반 미용기기,클래시스,
바이오·의료기기,의료기기,,에너지기반 미용기기,원텍,
바이오·의료기기,의료기기,,에너지기반 미용기기,비올,
바이오·의료기기,의료기기,,에너지기반 미용기기,하이로닉,
바이오·의료기기,의료기기,,치과(임플란트·영상),덴티움,
바이오·의료기기,의료기기,,치과(임플란트·영상),디오,
바이오·의료기기,의료기기,,치과(임플란트·영상),바텍,
바이오·의료기기,의료기기,,치과(임플란트·영상),레이,
바이오·의료기기,의료기기,,진단,씨젠,
바이오·의료기기,의료기기,,진단,에스디바이오센서,
바이오·의료기기,의료기기,,진단,바디텍메드,
바이오·의료기기,의료기기,,진단,아이센스,연속혈당 포함
바이오·의료기기,의료기기,,진단,인바디,체성분
바이오·의료기기,의료기기,,수술로봇,큐렉소,
바이오·의료기기,의료기기,,수술로봇,고영,뇌수술 네비게이션
바이오·의료기기,의료기기,,약국 자동화,제이브이엠,
바이오·의료기기,의료기기,,재활/전자약,엔젤로보틱스,
바이오·의료기기,의료기기,,재활/전자약,피앤에스미캐닉스,
바이오·의료기기,의료기기,,재활/전자약,리메드,
K소비재·유통,화장품 ODM/OEM,,ODM,코스맥스,
K소비재·유통,화장품 ODM/OEM,,ODM,한국콜마,
K소비재·유통,화장품 ODM/OEM,,ODM,코스메카코리아,
K소비재·유통,화장품 ODM/OEM,,ODM,씨앤씨인터내셔널,색조 특화
K소비재·유통,화장품 ODM/OEM,,용기·부자재,연우,
K소비재·유통,화장품 ODM/OEM,,용기·부자재,펌텍코리아,
K소비재·유통,화장품 ODM/OEM,,원료,현대바이오랜드,
K소비재·유통,화장품 ODM/OEM,,원료,대봉엘에스,
K소비재·유통,화장품 ODM/OEM,,원료,선진뷰티사이언스,
K소비재·유통,화장품 ODM/OEM,,원료,엔에프씨,
K소비재·유통,화장품 ODM/OEM,,원료,케어젠,펩타이드
K소비재·유통,화장품 브랜드,,대형,아모레퍼시픽,
K소비재·유통,화장품 브랜드,,대형,LG생활건강,
K소비재·유통,화장품 브랜드,,인디/중소형(수출주도),브이티,리들샷
K소비재·유통,화장품 브랜드,,인디/중소형(수출주도),아이패밀리에스씨,롬앤
K소비재·유통,화장품 브랜드,,인디/중소형(수출주도),마녀공장,
K소비재·유통,화장품 브랜드,,인디/중소형(수출주도),클리오,
K소비재·유통,화장품 브랜드,,인디/중소형(수출주도),달바글로벌,
K소비재·유통,화장품 브랜드,,인디/중소형(수출주도),에이피알,메디큐브
K소비재·유통,화장품 브랜드,,인디/중소형(수출주도),토니모리,
K소비재·유통,화장품 브랜드,,인디/중소형(수출주도),잇츠한불,
K소비재·유통,화장품 브랜드,,유통·리테일 연계,실리콘투,역직구 플랫폼
K소비재·유통,음식료,,라면/스낵 수출,삼양식품,불닭
K소비재·유통,음식료,,라면/스낵 수출,농심,
K소비재·유통,음식료,,라면/스낵 수출,오뚜기,
K소비재·유통,음식료,,라면/스낵 수출,오리온,
K소비재·유통,음식료,,라면/스낵 수출,롯데웰푸드,
K소비재·유통,음식료,,라면/스낵 수출,빙그레,
K소비재·유통,음식료,,종합식품,CJ제일제당,
K소비재·유통,음식료,,종합식품,대상,
K소비재·유통,음식료,,종합식품,동원F&B,
K소비재·유통,음식료,,종합식품,풀무원,
K소비재·유통,음식료,,종합식품,SPC삼립,
K소비재·유통,음식료,,주류,하이트진로,
K소비재·유통,음식료,,주류,롯데칠성,
K소비재·유통,음식료,,주류,무학,
K소비재·유통,음식료,,유가공,매일유업,
K소비재·유통,음식료,,유가공,남양유업,
K소비재·유통,음식료,,육가공,하림,
K소비재·유통,음식료,,원재료(제분·제당),대한제분,
K소비재·유통,음식료,,원재료(제분·제당),삼양사,
K소비재·유통,음식료,,원재료(제분·제당),대한제당,
K소비재·유통,음식료,,포장,율촌화학,농심 계열 포장
K소비재·유통,음식료,,포장,태림포장,골판지
K소비재·유통,음식료,,조미소재,에스앤디,삼양식품 스프 소재
K소비재·유통,미용기기,,병원용 에너지기기,클래시스,슈링크·볼뉴머
K소비재·유통,미용기기,,병원용 에너지기기,원텍,올리지오
K소비재·유통,미용기기,,병원용 에너지기기,비올,실펌X
K소비재·유통,미용기기,,병원용 에너지기기,하이로닉,
K소비재·유통,미용기기,,홈뷰티 디바이스,에이피알,부스터힐러
K소비재·유통,미용기기,,홈뷰티 디바이스,LG전자,프라엘
K소비재·유통,백화점/면세,,백화점,신세계,
K소비재·유통,백화점/면세,,백화점,현대백화점,
K소비재·유통,백화점/면세,,백화점,롯데쇼핑,
K소비재·유통,백화점/면세,,면세,호텔신라,
K소비재·유통,백화점/면세,,면세,신세계,신세계디에프
K소비재·유통,백화점/면세,,면세,현대백화점,면세점
K소비재·유통,백화점/면세,,택스리펀드,글로벌텍스프리,
K소비재·유통,백화점/면세,,택스리펀드,JTC,일본
K소비재·유통,에스테틱 (톡신·필러·스킨부스터),,보툴리눔 톡신,휴젤,
K소비재·유통,에스테틱 (톡신·필러·스킨부스터),,보툴리눔 톡신,대웅제약,나보타
K소비재·유통,에스테틱 (톡신·필러·스킨부스터),,보툴리눔 톡신,메디톡스,
K소비재·유통,에스테틱 (톡신·필러·스킨부스터),,보툴리눔 톡신,제테마,
K소비재·유통,에스테틱 (톡신·필러·스킨부스터),,보툴리눔 톡신,휴온스,
K소비재·유통,에스테틱 (톡신·필러·스킨부스터),,HA필러,휴젤,
K소비재·유통,에스테틱 (톡신·필러·스킨부스터),,HA필러,휴메딕스,
K소비재·유통,에스테틱 (톡신·필러·스킨부스터),,HA필러,제테마,
K소비재·유통,에스테틱 (톡신·필러·스킨부스터),,HA필러,바이오플러스,
K소비재·유통,에스테틱 (톡신·필러·스킨부스터),,스킨부스터/PN·PDRN,파마리서치,리쥬란
K소비재·유통,에스테틱 (톡신·필러·스킨부스터),,스킨부스터/PN·PDRN,케어젠,
K소비재·유통,에스테틱 (톡신·필러·스킨부스터),,스킨부스터/PN·PDRN,휴메딕스,
K소비재·유통,의류,,브랜드,F&F,MLB
K소비재·유통,의류,,브랜드,한섬,
K소비재·유통,의류,,브랜드,신세계인터내셔날,
K소비재·유통,의류,,브랜드,더네이쳐홀딩스,내셔널지오그래픽
K소비재·유통,의류,,브랜드,브랜드엑스코퍼레이션,젝시믹스
K소비재·유통,의류,,브랜드,감성코퍼레이션,스노우피크
K소비재·유통,의류,,OEM/ODM,영원무역,아웃도어
K소비재·유통,의류,,OEM/ODM,한세실업,니트
K소비재·유통,의류,,OEM/ODM,호전실업,스포츠
K소비재·유통,의류,,OEM/ODM,태평양물산,
K소비재·유통,의류,,섬유 소재,효성티앤씨,스판덱스
K소비재·유통,의류,,섬유 소재,휴비스,폴리에스터
K소비재·유통,의류,,섬유 소재,일신방직,
K소비재·유통,의류,,섬유 소재,전방,방적
K소비재·유통,유통/마트/편의점,,대형마트,이마트,
K소비재·유통,유통/마트/편의점,,대형마트,롯데쇼핑,
K소비재·유통,유통/마트/편의점,,편의점,BGF리테일,CU
K소비재·유통,유통/마트/편의점,,편의점,GS리테일,GS25
K소비재·유통,유통/마트/편의점,,홈쇼핑,현대홈쇼핑,
K소비재·유통,유통/마트/편의점,,홈쇼핑,롯데쇼핑,롯데홈쇼핑
K소비재·유통,유통/마트/편의점,,B2B 유통·역직구,실리콘투,
K소비재·유통,호텔/레저,,호텔,호텔신라,
K소비재·유통,호텔/레저,,호텔,조선호텔,신세계 계열
K소비재·유통,호텔/레저,,카지노,파라다이스,
K소비재·유통,호텔/레저,,카지노,GKL,
K소비재·유통,호텔/레저,,카지노,롯데관광개발,드림타워
K소비재·유통,호텔/레저,,카지노,강원랜드,
K소비재·유통,호텔/레저,,여행,하나투어,
K소비재·유통,호텔/레저,,여행,모두투어,
K소비재·유통,호텔/레저,,여행,노랑풍선,
K소비재·유통,호텔/레저,,여행,참좋은여행,
K소비재·유통,호텔/레저,,리조트,아난티,
K소비재·유통,호텔/레저,,리조트,용평리조트,
철강·비철금속,철강,,고로(판재),POSCO홀딩스,
철강·비철금속,철강,,고로(판재),현대제철,
철강·비철금속,철강,,전기로(봉형강),동국제강,
철강·비철금속,철강,,전기로(봉형강),한국철강,
철강·비철금속,철강,,전기로(봉형강),대한제강,
철강·비철금속,철강,,컬러강판,KG스틸,
철강·비철금속,철강,,컬러강판,동국씨엠,
철강·비철금속,철강,,컬러강판,포스코스틸리온,
철강·비철금속,철강,,강관,세아제강,에너지향
철강·비철금속,철강,,강관,휴스틸,
철강·비철금속,철강,,강관,넥스틸,
철강·비철금속,철강,,강관,하이스틸,
철강·비철금속,철강,,특수강,세아베스틸지주,
철강·비철금속,철강,,특수강,현대제철,특수강
철강·비철금속,철강,,내화물,조선내화,
철강·비철금속,철강,,내화물,포스코퓨처엠,내화물 부문
철강·비철금속,철강,,내화물,한국내화,
철강·비철금속,철강,,단조,태웅,
철강·비철금속,철강,,단조,한일단조,
철강·비철금속,비철금속,,아연·연 제련,고려아연,
철강·비철금속,비철금속,,아연·연 제련,영풍,
철강·비철금속,비철금속,,동가공,풍산,동합금·소전
철강·비철금속,비철금속,,동가공,이구산업,동판·조
철강·비철금속,비철금속,,동가공,대창,황동봉
철강·비철금속,비철금속,,동가공,서원,
철강·비철금속,비철금속,,알루미늄,조일알미늄,판
철강·비철금속,비철금속,,알루미늄,삼아알미늄,박
철강·비철금속,비철금속,,알루미늄,알루코,압출
철강·비철금속,비철금속,,알루미늄,남선알미늄,
철강·비철금속,비철금속,,리사이클/2차전지 메탈,성일하이텍,
철강·비철금속,비철금속,,리사이클/2차전지 메탈,새빗켐,
철강·비철금속,비철금속,,리사이클/2차전지 메탈,코스모화학,
철강·비철금속,비철금속,,탈산제/알루미늄 재활용,피제이메탈,
철강·비철금속,피팅·밸브,,피팅,성광벤드,
철강·비철금속,피팅·밸브,,피팅,태광,석유화학·LNG·조선 플랜트향
철강·비철금속,피팅·밸브,,계장용 피팅·밸브,하이록코리아,
철강·비철금속,피팅·밸브,,계장용 피팅·밸브,디케이락,
철강·비철금속,피팅·밸브,,계장용 피팅·밸브,비엠티,반도체·수소향 확장
철강·비철금속,피팅·밸브,,안전밸브,조광ILI,
철강·비철금속,피팅·밸브,,밸브 액추에이터,에너토크,
정유화학,정유,,정유사,SK이노베이션,SK에너지
정유화학,정유,,정유사,S-Oil,
정유화학,정유,,정유사,GS,GS칼텍스 50%
정유화학,정유,,정유사,HD현대,HD현대오일뱅크 모회사
정유화학,정유,,윤활유/윤활기유,S-Oil,
정유화학,정유,,윤활유/윤활기유,SK이노베이션,
정유화학,정유,,윤활유/윤활기유,미창석유,
정유화학,정유,,윤활유/윤활기유,한국쉘석유,
정유화학,정유,,윤활유/윤활기유,극동유화,
정유화학,정유,,유통,흥구석유,
정유화학,정유,,유통,중앙에너비스,
정유화학,NCC·범용화학,,NCC(에틸렌·프로필렌),LG화학,
정유화학,NCC·범용화학,,NCC(에틸렌·프로필렌),롯데케미칼,
정유화학,NCC·범용화학,,NCC(에틸렌·프로필렌),대한유화,
정유화학,NCC·범용화학,,NCC(에틸렌·프로필렌),한화솔루션,한화토탈 지분
정유화학,NCC·범용화학,,방향족·PX,S-Oil,
정유화학,NCC·범용화학,,방향족·PX,롯데케미칼,
정유화학,NCC·범용화학,,합성수지(PE·PP·PVC·ABS),LG화학,
정유화학,NCC·범용화학,,합성수지(PE·PP·PVC·ABS),롯데케미칼,
정유화학,NCC·범용화학,,합성수지(PE·PP·PVC·ABS),한화솔루션,PVC·가성소다
정유화학,NCC·범용화학,,합성수지(PE·PP·PVC·ABS),대한유화,
정유화학,NCC·범용화학,,합성고무,금호석유화학,
정유화학,NCC·범용화학,,페놀·아세톤,금호석유화학,금호피앤비
정유화학,NCC·범용화학,,PTA·아크릴,태광산업,
정유화학,NCC·범용화학,,카프로락탐,카프로,
정유화학,정밀화학·스페셜티,,에폭시,국도화학,
정유화학,정밀화학·스페셜티,,ECH·셀룰로스·그린암모니아,롯데정밀화학,
정유화학,정밀화학·스페셜티,,산화방지제,송원산업,
정유화학,정밀화학·스페셜티,,계면활성제·첨가제,미원상사,
정유화학,정밀화학·스페셜티,,계면활성제·첨가제,미원에스씨,
정유화학,정밀화학·스페셜티,,계면활성제·첨가제,미원화학,
정유화학,정밀화학·스페셜티,,계면활성제·첨가제,애경케미칼,
정유화학,정밀화학·스페셜티,,질산·DNT,TKG휴켐스,
정유화학,정밀화학·스페셜티,,가성소다·염소,한화솔루션,
정유화학,정밀화학·스페셜티,,가성소다·염소,백광산업,
정유화학,정밀화학·스페셜티,,가성칼륨,유니드,
정유화학,정밀화학·스페셜티,,과산화수소·전자소재,한솔케미칼,
정유화학,정밀화학·스페셜티,,과산화수소·전자소재,OCI홀딩스,
정유화학,정밀화학·스페셜티,,아라미드,코오롱인더스트리,
정유화학,정밀화학·스페셜티,,아라미드,태광산업,
정유화학,정밀화학·스페셜티,,아라미드,효성첨단소재,
정유화학,정밀화학·스페셜티,,탄소섬유,효성첨단소재,
정유화학,정밀화학·스페셜티,,스판덱스,효성티앤씨,
정유화학,정밀화학·스페셜티,,필름·반도체소재,SKC,
정유화학,정밀화학·스페셜티,,비료,남해화학,
정유화학,정밀화학·스페셜티,,비료,롯데정밀화학,요소
정유화학,정밀화학·스페셜티,,LAB·노말파라핀,이수화학,
